region_code,response
0.0,0.08609599208312717
1.0,0.10813492063492064
2.0,0.07107478949975235
3.0,0.1276618743919576
4.0,0.15824541921154914
5.0,0.11571540265832682
6.0,0.06990445859872611
7.0,0.13174748398902103
8.0,0.0961419251999882
9.0,0.08158658497258948
10.0,0.060128029263831734
11.0,0.11275996533795495
12.0,0.0975609756097561
13.0,0.09018830525272548
14.0,0.09020949123557076
15.0,0.07198677487225728
16.0,0.06676631788739412
17.0,0.07030951471150172
18.0,0.13157384048127305
19.0,0.16286644951140064
20.0,0.11524547803617571
21.0,0.0710267229254571
22.0,0.06340718105423988
23.0,0.15306122448979592
24.0,0.14161490683229813
25.0,0.042748701558130243
26.0,0.07228449942017781
27.0,0.07403471484236628
28.0,0.18716346379739698
29.0,0.12336195210122006
30.0,0.0738249528340579
31.0,0.10051020408163265
32.0,0.08575529242913527
33.0,0.09929448654298406
34.0,0.07572115384615384
35.0,0.12460386055891674
36.0,0.07991360691144708
37.0,0.07925831666969642
38.0,0.1920039486673248
39.0,0.12360034453057708
40.0,0.11814671814671815
41.0,0.12177626895909763
42.0,0.07445008460236886
43.0,0.09245926487305797
44.0,0.04084158415841584
45.0,0.10972346119536129
46.0,0.10289128563471568
47.0,0.08768154922001076
48.0,0.10190130314035463
49.0,0.07478165938864628
50.0,0.0626769501122718
51.0,0.15300546448087432
52.0,0.12359550561797752
